Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Baltimore Orioles,26,28.2,5.19,75,87,0.463,4.97,162,162,161,1,10,1,35,1441.0,1505,841,795,242,579,21,1233,60,6,53,6293,88,4.96,1.446,9.4,1.5,3.6,7.7,2.13,1129
Boston Red Sox,27,28.4,4.12,93,69,0.574,3.7,162,162,157,5,11,1,39,1482.1,1384,668,610,195,465,18,1580,49,3,43,6217,123,3.78,1.247,8.4,1.2,2.8,9.6,3.4,1102
Chicago White Sox,31,28.7,5.06,67,95,0.414,4.78,162,162,162,0,3,0,25,1421.2,1384,820,755,242,632,36,1193,68,5,67,6200,90,5.17,1.418,8.8,1.5,4.0,7.6,1.89,1115
Cleveland Indians,20,28.9,3.48,102,60,0.63,3.3,162,162,155,7,19,3,37,1440.2,1267,564,529,163,406,15,1614,45,1,48,5866,138,3.33,1.161,7.9,1.0,2.5,10.1,3.98,980
Detroit Tigers,29,28.3,5.52,64,98,0.395,5.36,162,162,160,2,4,1,32,1420.1,1587,894,846,218,538,42,1202,61,4,53,6298,84,4.73,1.496,10.1,1.4,3.4,7.6,2.23,1143
Houston Astros,27,28.5,4.32,101,61,0.623,4.12,162,162,161,1,9,0,45,1446.0,1314,700,662,192,522,17,1593,70,4,86,6111,99,3.91,1.27,8.2,1.2,3.2,9.9,3.05,1073
Kansas City Royals,29,30.3,4.88,80,82,0.494,4.61,162,162,161,1,6,1,39,1437.2,1480,791,737,196,519,24,1216,52,6,48,6218,97,4.43,1.39,9.3,1.2,3.2,7.6,2.34,1114
Los Angeles Angels,31,29.1,4.38,80,82,0.494,4.2,162,162,161,1,10,1,43,1440.2,1373,709,672,224,470,25,1312,44,6,57,6030,102,4.43,1.279,8.6,1.4,2.9,8.2,2.79,999
Minnesota Twins,36,29.6,4.86,85,77,0.525,4.59,162,162,156,6,11,3,42,1436.0,1487,788,732,224,483,37,1166,69,8,52,6205,97,4.72,1.372,9.3,1.4,3.0,7.3,2.41,1109
New York Yankees,25,27.8,4.07,91,71,0.562,3.72,162,162,160,2,7,1,36,1448.2,1248,660,599,192,504,18,1560,53,4,83,6078,121,3.88,1.209,7.8,1.2,3.1,9.7,3.1,1072
Oakland Athletics,28,27.9,5.1,75,87,0.463,4.67,162,162,161,1,6,1,35,1431.0,1444,826,743,210,502,17,1202,61,3,84,6167,90,4.57,1.36,9.1,1.3,3.2,7.6,2.39,1048
Seattle Mariners,40,27.9,4.77,78,84,0.481,4.46,162,162,161,1,9,0,39,1440.1,1399,772,713,237,490,28,1244,53,7,73,6132,94,4.7,1.312,8.7,1.5,3.1,7.8,2.54,1039
Tampa Bay Rays,31,27.6,4.35,80,82,0.494,3.97,162,162,162,0,9,0,53,1445.0,1324,704,638,193,503,37,1352,48,4,83,6099,106,4.17,1.264,8.2,1.2,3.1,8.4,2.69,1060
Texas Rangers,31,28.8,5.04,78,84,0.481,4.66,162,162,160,2,6,1,29,1434.1,1443,816,742,214,559,22,1107,74,7,63,6211,103,4.88,1.396,9.1,1.3,3.5,6.9,1.98,1092
Toronto Blue Jays,34,28.8,4.84,76,86,0.469,4.42,162,162,160,2,6,0,45,1465.0,1460,784,720,203,549,25,1372,48,4,53,6316,102,4.31,1.371,9.0,1.2,3.4,8.4,2.5,1137
League Average,28,28.6,4.67,82,80,0.504,4.37,162,162,160,2,8,1,38,1442.0,1407,756,700,210,515,25,1330,57,5,63,6163,101,4.39,1.332,8.8,1.3,3.2,8.3,2.58,1081
,417,28.6,4.67,1225,1205,0.504,4.37,2430,2430,2398,32,126,14,574,21630.2,21099,11337,10493,3145,7721,382,19946,855,72,946,92441,101,4.39,1.332,8.8,1.3,3.2,8.3,2.58,16212
